temp,rain_mm,sun_h,snow_cm,wind_ms,cloud_percent,daytime,nighttime
21.9,0,10,0,3,2.3,sunny,sunny
18.2,0,4.9,0,3,7.5,cloudy,cloudy
16.7,0,0.1,0,2.1,10,cloudy,cloudy
18.1,0,4.8,0,2.4,9.8,cloudy,cloudy
14.9,0,9.8,0,2.4,2.5,sunny,sunny
14,1,2.4,0,2,6.3,cloudy,cloudy
19.1,0,9.6,0,1.7,5,sunny,cloudy
19,0,7.6,0,3.3,4.8,sunny,sunny
12.2,18,0,0,2.4,9.5,cloudy,rainy
15.5,0,0,0,2.5,9.5,cloudy,cloudy
11.9,1,0,0,2.3,10,cloudy,cloudy
14.3,0,3.9,0,1.8,9,cloudy,cloudy
13.4,10,3.3,0,2,7.8,rainy,cloudy
10.9,1.5,0,0,2.4,10,cloudy,rainy
12.9,3,9.5,0,2.6,2.5,sunny,sunny
14,0,9.2,0,3,2,sunny,cloudy
14.6,0,6.8,0,2.5,5,sunny,sunny
14.8,0,9.5,0,2.6,0.3,sunny,sunny
11,0,8.4,0,3,4.5,sunny,sunny
9.9,2,1.8,0,1.8,7.5,cloudy,rainy
10.4,5,6,0,4.9,5.5,sunny,sunny
9.6,0,0.5,0,2.9,9.8,cloudy,rainy
9,49,0,0,3.4,10,rainy,cloudy
13.6,0,6.3,0,1.9,4,sunny,sunny
13.6,0,7.6,0,1.7,4.3,sunny,cloudy
13.7,6,0,0,1.8,10,cloudy,rainy
15.3,0,1.6,0,2.1,10,cloudy,sunny
12.5,0,0.6,0,3.4,7.3,cloudy,cloudy
12.6,0,8.1,0,1.9,6.3,sunny,sunny
11.3,0,9,0,2,3.3,sunny,cloudy
9.8,18,0,0,2,9.5,rainy,sunny
13.6,0,6.9,0,1.4,5.5,cloudy,cloudy
12.6,2.5,0,0,2.3,10,cloudy,rainy
14,2,6.7,0,1.7,6.8,sunny,sunny
11.4,0,0.1,0,2.8,10,cloudy,cloudy
2.8,23,0,0,2.9,9.5,snow,sunny
5.6,0,9.3,0,1.9,3.8,sunny,sunny
8.3,0,6.5,0,2.1,5,sunny,cloudy
10.6,9.5,0.5,0,1.8,10,cloudy,rainy
11.1,7.5,3.3,0,3.4,9,cloudy,cloudy
10.5,0,5.7,0,3.5,5,sunny,sunny
8.8,0,4.9,0,2.3,6.5,cloudy,cloudy
10,10.5,3.1,0,2.4,10,rainy,cloudy
11.5,0,8.5,0,2.9,4.5,sunny,sunny
10.8,0,6.7,0,1.9,6.8,sunny,cloudy
11.6,2.5,7.2,0,1.5,9.8,cloudy,rainy
12.7,1.5,7.6,0,1.7,8.8,cloudy,cloudy
10.8,0,8.5,0,4,2.8,sunny,sunny
7.5,0,1.5,0,2.3,7,cloudy,sunny
8.6,0,8.6,0,2.4,3.3,sunny,sunny
11.1,0,8.9,0,3,1.5,sunny,sunny
8.5,0,8.7,0,4.1,0.3,sunny,cloudy
6.8,0,8.8,0,3.3,2.8,sunny,sunny
7,0,7.5,0,2.2,5.3,cloudy,cloudy
9.4,3,2.5,0,1.9,8.8,cloudy,rainy
8.1,37,0.3,0,3.2,7.5,rainy,sunny
6.2,0,6.9,0,3.1,2.8,sunny,sunny
4.8,0,8.6,0,3.5,1.5,sunny,sunny
6.7,0,9,0,2.1,0,sunny,sunny
8.2,0,7.6,0,1.6,3,sunny,cloudy
10,0,8.3,0,1.5,7.8,cloudy,cloudy
9.6,0,3.5,0,1.6,5,cloudy,sunny
10.5,0,7.8,0,1.7,2.8,sunny,sunny
14.6,10.5,2.5,0,3.9,9.5,cloudy,cloudy
14,7.5,4.3,0,3.5,5.8,sunny,sunny
8.6,0,8.5,0,3.7,1.3,sunny,cloudy
6.6,0,4.7,0,1.5,5,cloudy,sunny
6.9,0,1.3,0,1.8,9,cloudy,cloudy
11.1,11.5,0.2,0,3.4,9.3,cloudy,cloudy
6,0,9,0,4.4,2.3,sunny,sunny
4.3,0,5.2,0,2.2,5,cloudy,sunny
6,0,9,0,3.8,0,sunny,sunny
6.3,0,8.9,0,1.8,2.3,sunny,sunny
7.4,0,8.9,0,2,2.8,sunny,sunny
7.2,0,6.5,0,1.4,2.5,sunny,sunny
8,0,8.2,0,2.2,0.5,sunny,sunny
8.5,0,8.7,0,2.6,2.5,sunny,sunny
6.7,0,9,0,4.9,0,sunny,sunny
4.5,0,8.8,0,2.3,4,sunny,sunny
4.1,0,8.7,0,1.7,2.3,sunny,cloudy
3.9,20.5,0,0,2.9,9.8,cloudy,rainy
7.2,5.5,2.2,0,3.3,7,rainy,sunny
8.1,0,8.9,0,2.4,0.3,sunny,sunny
6.9,0,9,0,2.4,0.3,sunny,sunny
6,0,8.2,0,1.7,0.5,sunny,sunny
6.2,0,6.7,0,2,2.3,sunny,sunny
2.4,0,3.2,0,2.6,5.8,cloudy,sunny
0.7,0,8.1,0,3.1,1.5,sunny,sunny
3.2,0,9.3,0,3.5,0.8,sunny,sunny
5.4,0,9.1,0,2.3,1,sunny,sunny
5.8,0,9.1,0,2.5,4.3,sunny,cloudy
6.4,0,5.6,0,3,8,cloudy,cloudy
3,0,0,0,2.6,10,cloudy,cloudy
5.9,0,9.4,0,3.9,3.5,sunny,cloudy
6,0,9.3,0,2,2.5,sunny,sunny
4,0,6.9,0,4.5,2.8,sunny,sunny
2.5,0,9.4,0,3.6,0.5,sunny,sunny
3.9,0,9.6,0,3.3,0,sunny,sunny
4.6,0,9.5,0,2.2,0,sunny,sunny
8.8,0,5.2,0,3.1,6.5,cloudy,sunny
8.4,0,9.1,0,2.1,2,sunny,cloudy
8,0,2.9,0,1.8,10,cloudy,cloudy
11.2,0,7.9,0,3,5,sunny,sunny
5.9,0,9.3,0,4.6,2.3,sunny,cloudy
6,0,7.2,0,2.7,7.3,sunny,sunny
4.5,0,9.6,0,4.3,0,sunny,sunny
7.4,0,9.6,0,4.1,0,sunny,sunny
8.2,0,9.6,0,3.1,0,sunny,sunny
7.2,0,2.5,0,1.7,8.8,cloudy,cloudy
8.7,0,6.1,0,3.7,4.3,sunny,sunny
5.6,0,9.5,0,5.2,1,sunny,sunny
6.3,0,9.5,0,3.2,6.3,sunny,cloudy
2.4,8,0,0,2.7,10,snow,rainy
4.3,0.5,4,0,3.6,8.3,cloudy,sunny
4.1,0,7.3,0,2.6,4.3,sunny,sunny
5,0,9.5,0,4,0,sunny,sunny
6.3,0,8,0,3.3,0.8,sunny,sunny
6.1,0,8.9,0,3.5,3.5,sunny,sunny
6.5,0,9.9,0,3.1,0.5,sunny,sunny
7.3,0,9.9,0,2.2,2.3,sunny,cloudy
13.2,0,8.2,0,4.9,4.5,sunny,sunny
8.1,0,2.9,0,2.9,9,cloudy,cloudy
6.2,0,9.6,0,3.7,3.3,sunny,sunny
9.9,6.5,5.6,0,4.1,6,sunny,sunny
6.1,0,9.7,0,5.6,0.8,sunny,sunny
7,0,4.3,0,3.5,8.3,cloudy,cloudy
12.4,0.5,1.5,0,4.5,10,rainy,cloudy
7.4,0,3.5,0,4.5,10,cloudy,cloudy
7.5,0,8.1,0,2.2,5.3,sunny,sunny
8.6,0,8.4,0,2.2,5,sunny,cloudy
6.2,0,2,0,3,9,cloudy,cloudy
5.5,0,8.8,0,2.6,3.3,sunny,sunny
6.4,4.5,5.6,0,1.8,6.5,cloudy,rainy
6.8,9.5,0,0,2.3,10,cloudy,sunny
8.7,0,8.3,0,3.1,2.8,sunny,sunny
8.7,0,6.1,0,2.5,9.3,cloudy,sunny
10.4,0,8.3,0,2.4,5.3,sunny,cloudy
9.3,1,1.1,0,1.9,9.3,cloudy,sunny
6.6,0.5,2.7,0,3.2,6.8,cloudy,sunny
5.5,0,8.1,0,1.9,2.3,sunny,sunny
7.5,0,11.1,0,2.8,0.8,sunny,sunny
8.6,0,10.3,0,2.9,1,sunny,sunny
7.9,0,8.1,0,3,4,sunny,sunny
7.6,0,10.3,0,2.7,7,cloudy,cloudy
8.8,0.5,0.5,0,2,10,cloudy,rainy
8.1,2.5,0,0,2.8,10,rainy,rainy
5.4,1,0,0,3.4,10,cloudy,cloudy
8.2,0,9.1,0,2.5,6,sunny,sunny
9.5,0,9,0,3.1,6.5,sunny,cloudy
10.3,0,9.1,0,2.7,5.5,sunny,cloudy
12.2,0,8.9,0,2.9,3,sunny,sunny
12.6,0,9.8,0,3.6,5,sunny,cloudy
9.1,25.5,0,0,2.9,10,rainy,rainy
9.8,0,11.3,0,5.5,2.5,sunny,cloudy
9.7,0,5.7,0,2.2,9.3,cloudy,cloudy
8.5,0,5.9,0,3.6,7.3,cloudy,sunny
7.8,0,11.1,0,3.1,10,cloudy,cloudy
5.9,12.5,0,0,2.8,10,rainy,rainy
5,21.5,1.5,0,3.6,8.5,rainy,sunny
8.6,0,9.1,0,2.6,3.5,sunny,cloudy
9.1,0,8.4,0,2.7,4.8,cloudy,sunny
11.9,0,10.2,0,2.5,7.3,sunny,cloudy
8.8,6.5,0.7,0,3,9,cloudy,rainy
6.3,5.5,0,0,2.7,10,rainy,cloudy
8.7,0,8.9,0,2.3,6.8,cloudy,sunny
9.9,1.5,7.3,0,2.8,5,sunny,sunny
11.2,0,12,0,2.9,0.3,sunny,cloudy
14.7,0,9.4,0,3.5,9.5,cloudy,cloudy
16.7,0.5,7.2,0,5.5,9.8,cloudy,rainy
17.5,3,2.8,0,5.6,7.8,rainy,sunny
15.3,7,0,0,2,10,rainy,cloudy
13.8,9,0,0,2.2,10,rainy,cloudy
10.4,0,6.5,0,2.9,10,cloudy,cloudy
8.5,46,0,0,3,10,rainy,sunny
14.3,0,9.7,0,3.9,8.8,cloudy,cloudy
12.3,0,9.1,0,3,5.5,sunny,sunny
15,0,11.7,0,3.7,0.5,sunny,sunny
18.6,0,8.2,0,4.8,5,cloudy,sunny
18.9,0,11.9,0,2.7,6,sunny,cloudy
18.3,13,3.8,0,3.2,10,cloudy,rainy
20,17.5,5.1,0,4.7,10,cloudy,cloudy
18,0,11.8,0,4.4,1.3,sunny,sunny
15.7,0,9,0,3.7,5.3,sunny,cloudy
15.6,0,0.1,0,1.8,10,cloudy,cloudy
14.3,15,0.1,0,2,9.8,cloudy,rainy
13.6,0.5,10.5,0,2.9,4.3,sunny,cloudy
14.5,0,7,0,3,7,cloudy,sunny
16,0,9.5,0,4.7,6,sunny,cloudy
16.9,0,0,0,4.8,10,cloudy,cloudy
14.7,3.5,5,0,3.3,9.8,cloudy,cloudy
15.9,0,9.5,0,2.9,6,sunny,sunny
16.2,0,10.4,0,2.6,3.5,sunny,sunny
17.8,0,12.3,0,3.2,0,sunny,sunny
17.7,1,7.6,0,2.4,4,sunny,sunny
16.6,0,12.4,0,3.1,3.8,sunny,sunny
17.1,0,9.5,0,3.8,10,cloudy,cloudy
18.1,0,9.9,0,4.3,6.8,cloudy,sunny
19.6,0,11.4,0,3.2,2.5,sunny,sunny
21.7,0,12.4,0,3.3,7.8,cloudy,cloudy
19.9,0,3.6,0,3.1,9,cloudy,sunny
20.8,0,12.3,0,2.6,5,sunny,cloudy
19.1,0,0.2,0,2.9,9.5,cloudy,cloudy
16.3,4,0,0,1.7,10,rainy,cloudy
21,0,9.4,0,2,7,sunny,sunny
21.6,0,7.8,0,3.2,7.5,cloudy,cloudy
17.8,27,0,0,3.1,10,rainy,cloudy
17.8,0,0.7,0,2.8,9.8,cloudy,cloudy
17.7,0,1.1,0,2.5,9.8,cloudy,cloudy
18.9,0,4.6,0,3,10,cloudy,cloudy
17.2,0,0.2,0,2.7,10,cloudy,cloudy
17.6,1.5,5.4,0,2.1,7.8,cloudy,sunny
20,0,12.4,0,2.9,4,sunny,sunny
22.1,0,13.1,0,2.6,0,sunny,sunny
23.8,0,12.1,0,2.7,3.3,sunny,cloudy
23.2,0,12.9,0,3.6,6,sunny,sunny
22.5,0,12.4,0,5,2.8,sunny,cloudy
22.2,0,2.7,0,4,10,cloudy,rainy
20.9,1,0.4,0,2.5,10,rainy,cloudy
18.8,14.5,0,0,2.4,10,rainy,cloudy
20.9,0,7,0,3.3,9.5,cloudy,cloudy
20.9,0,6.6,0,2.7,8.5,sunny,cloudy
21.5,0,12,0,3.5,5.5,sunny,sunny
23.3,0,12.1,0,3,5.3,sunny,cloudy
23.6,0,4.7,0,3.7,10,cloudy,cloudy
21.5,15.5,1.7,0,2.4,9.8,cloudy,cloudy
23,0,10.6,0,3.6,4,sunny,sunny
21.4,0,12.1,0,3.6,2.8,sunny,cloudy
21,0,7.2,0,3.6,6.5,sunny,sunny
19.6,3.5,9.2,0,3.1,8,sunny,cloudy
19.6,0,4.4,0,3,9,cloudy,cloudy
20.3,0,0,0,4.4,10,cloudy,rainy
22,0,4.9,0,4.1,10,cloudy,cloudy
23.1,0,7,0,3.2,9.8,cloudy,cloudy
24.6,0,8.3,0,3.4,8.8,cloudy,cloudy
21.7,0,3.7,0,3,10,cloudy,cloudy
20.5,0,5,0,3.1,9.3,cloudy,cloudy
16.9,9.5,0,0,2.5,10,rainy,rainy
19.3,3.5,3.6,0,2.7,9.3,cloudy,sunny
21.3,0,7.2,0,3,7,sunny,sunny
22.4,0,9.7,0,2.9,5.8,sunny,sunny
22.3,0,12.2,0,2.9,5.5,sunny,cloudy
19.5,11.5,0,0,2.7,10,cloudy,rainy
22.6,1,11,0,3.5,5.8,sunny,sunny
22.7,0,11.2,0,3.3,9.8,cloudy,cloudy
22.4,45.5,0,0,5,9.5,rainy,cloudy
24,0,4.6,0,3.1,10,cloudy,cloudy
24.6,0,12.1,0,3.2,3,sunny,sunny
24.6,0,7.2,0,3.2,9.3,cloudy,cloudy
22.3,10,0,0,1.9,10,rainy,cloudy
23.1,0.5,2.1,0,2.7,10,cloudy,cloudy
23.2,1,0,0,2.4,10,cloudy,cloudy
22.4,3,0,0,1.6,8.5,rainy,cloudy
24.6,0,3.7,0,2.6,10,cloudy,cloudy
23.8,2,0.1,0,2.9,10,rainy,cloudy
23.4,2,0.1,0,2.1,10,rainy,cloudy
25.7,1,3.1,0,1.9,9.8,cloudy,cloudy
28.3,0,6.2,0,2.5,10,cloudy,cloudy
26.8,15,0.1,0,2,10,cloudy,rainy
26.3,0.5,5,0,3.1,9,cloudy,cloudy
26.2,0,6.8,0,3.1,7.8,cloudy,cloudy
27,0,10.9,0,2.6,5,sunny,sunny
27.9,0,12.6,0,2.6,1,sunny,sunny
27.3,0,13.1,0,2.9,2.5,sunny,sunny
27.4,0,13.5,0,3.7,1.5,sunny,sunny
27.7,0,7.2,0,4.8,6,sunny,sunny
28.9,0,10.3,0,4.1,6.5,sunny,sunny
28.5,0,5.6,0,5,6.8,sunny,sunny
28.2,0,12.1,0,4.4,1.5,sunny,sunny
28.1,0,11.5,0,2.8,5.8,sunny,cloudy
28.9,0,6.6,0,2.2,10,cloudy,cloudy
29.7,0,6.1,0,3,10,cloudy,cloudy
26.3,10.5,3.5,0,2.3,10,cloudy,cloudy
26.5,0,6.6,0,3.4,8.8,sunny,cloudy
28.2,0,7.7,0,3.8,4.8,sunny,sunny
29.1,0,11.6,0,4.5,4.8,sunny,sunny
28.7,0,9.7,0,4.1,6.8,cloudy,cloudy
27.3,0,0,0,4.5,10,cloudy,cloudy
29.1,0,2.3,0,4.7,10,cloudy,cloudy
29.4,0,1.8,0,3.5,9,cloudy,cloudy
24.6,35,0,0,2.7,10,rainy,cloudy
24.2,0.5,0,0,2.4,10,cloudy,cloudy
26.8,0,3.5,0,2.2,9.3,cloudy,cloudy
26.8,16,3.1,0,2.4,9.8,cloudy,rainy
25.6,0.5,0.1,0,2.3,10,cloudy,cloudy
28,0,8.4,0,2.4,7,sunny,sunny
26.3,6.5,0,0,2.8,10,cloudy,cloudy
22.9,0.5,0.5,0,3,10,cloudy,cloudy
24.3,0,0.7,0,2.3,9,cloudy,cloudy
25.6,0,0.6,0,2.2,10,cloudy,cloudy
27.8,0.5,2.9,0,1.8,10,cloudy,cloudy
29,0,6.1,0,2.7,8,cloudy,sunny
28.7,9,5,0,4.3,7.5,cloudy,cloudy
29.3,0,3.3,0,4.2,9.8,cloudy,cloudy
30,0,8.5,0,2.6,7.8,sunny,cloudy
25.7,2.5,0,0,2.6,10,cloudy,cloudy
22.9,10.5,0,0,2.4,10,cloudy,rainy
24.1,9.5,1.5,0,1.8,8,cloudy,sunny
26.9,0,3.5,0,2.2,9.5,cloudy,cloudy
24.4,9.5,0,0,2.2,10,cloudy,rainy
23.7,43.5,0,0,2.4,10,rainy,rainy
21.9,18.5,0,0,2.5,10,rainy,rainy
24.2,3.5,0.2,0,2.2,10,cloudy,cloudy
26.5,0,0.8,0,1.9,10,cloudy,cloudy
26,17,2.2,0,2.3,9.5,cloudy,cloudy
25.3,0,0.6,0,1.9,10,cloudy,cloudy
27,0.5,3.7,0,2.4,9.8,cloudy,cloudy
27.8,0,2.6,0,2.8,9.5,cloudy,sunny
29.4,0,5.6,0,2,7.3,sunny,cloudy
29.9,0,7.6,0,2.5,7.5,cloudy,sunny
30.4,0,3.7,0,2.1,10,cloudy,cloudy
28.9,0,2.7,0,2.4,10,cloudy,cloudy
26.6,0,4.8,0,3,7,cloudy,sunny
26.4,0,6.7,0,2.7,8.5,cloudy,cloudy
28.7,0,5.3,0,4.1,9,cloudy,cloudy
27.7,2,4.6,0,3.3,8.8,cloudy,cloudy
21.6,8,0,0,3.6,9.8,rainy,cloudy
21.8,9.5,2.3,0,3.6,10,cloudy,rainy
20,14.5,4.9,0,3.3,8.3,rainy,sunny
22.2,0,8.6,0,2.8,3,sunny,sunny
20.6,8,0,0,2.1,10,cloudy,cloudy
23,0.5,2.3,0,2.2,10,cloudy,rainy
21.6,9.5,0,0,1.7,10,rainy,cloudy
22.1,3,0.1,0,1.6,10,cloudy,rainy
23.8,0,5.1,0,2.4,6.3,cloudy,cloudy
24.5,0,8.7,0,2.4,6.5,sunny,sunny
25.3,0,7.8,0,2.8,6,sunny,sunny
25.8,3,5.8,0,4.1,10,cloudy,rainy
24.8,4.5,0.3,0,3.4,10,rainy,sunny
26.2,0,7.1,0,2.9,8,sunny,cloudy
25.7,0,6.5,0,2.7,9.5,cloudy,cloudy
23.9,0,6.9,0,3,10,cloudy,cloudy
20.5,8,0,0,2.6,10,cloudy,rainy
19,52,0,0,2.5,10,rainy,rainy
27,16,9.3,0,4.6,8,sunny,cloudy
24.6,0,6.3,0,2.3,9.3,cloudy,cloudy
23.3,0,0,0,2.4,10,cloudy,cloudy
24.2,0,10.4,0,3.4,7.5,sunny,sunny
21.9,20.5,1.4,0,2.3,8.3,cloudy,rainy
20.1,12.5,1.3,0,2.6,9.5,cloudy,cloudy
21.9,0,4,0,2.1,9,cloudy,cloudy
23.7,0,5.9,0,2.3,7.3,sunny,cloudy
23.8,0,7.7,0,2.5,4.8,sunny,sunny
23.7,2.5,0.5,0,4,7.8,cloudy,rainy
19.2,45.5,0.1,0,2.9,10,cloudy,cloudy
19.9,0,8.3,0,2.4,5.8,sunny,cloudy
20.1,0,2.8,0,1.9,7,cloudy,sunny
20.9,0,7.7,0,2.8,5,sunny,cloudy
22.3,3.5,0,0,2.8,9.5,cloudy,rainy
22.1,0.5,2.9,0,2.4,9.5,cloudy,cloudy
18.3,0,0.4,0,2.9,9.5,cloudy,cloudy
16.9,0,4.5,0,2.6,10,cloudy,cloudy
15.7,28,0,0,2.6,10,cloudy,rainy
18,33.5,1.8,0,2.4,9.3,rainy,sunny
20.9,0,4,0,1.9,9.5,cloudy,sunny
21,0,10.6,0,2.1,6.3,sunny,sunny
22.8,0,10.4,0,1.9,1.3,sunny,sunny
21.2,0,0.9,0,2,7.5,cloudy,cloudy
23.1,0.5,5.9,0,2.2,9.5,sunny,cloudy
15.9,4.5,0,0,2.9,10,rainy,rainy
14.6,19,0,0,2.1,10,rainy,cloudy
15,13.5,0,0,2,10,rainy,rainy
12.7,32,0,0,2.6,10,rainy,rainy
13.3,7.5,0,0,1.9,9.5,rainy,sunny
14.5,0,7.8,0,2.9,6,sunny,cloudy
11,42,0,0,2.8,10,rainy,rainy
14.3,15.5,0,0,3.2,10,rainy,rainy